FID,gis_id,ssc_code,ssc_name,lga_code,Total_Employed_Persons_Worked_Full_Time,Percentage_Employed_Persons_Worked_Full_Time,Percentage_Employed_Persons_Worked_Full_Time_Vic,Total_Employed_Persons_Worked_Part_Time,Percentage_Employed_Persons_Worked_Part_Time,Percentage_Employed_Persons_Worked_Part_Time_Vic,Total_Persons_Employed_Away_From_Work,Percentage_Persons_Employed_Away_From_Work,Percentage_Persons_Employed_Away_From_Work_Vic,Total_Persons_Unemployed,Percentage_Persons_Unemployed,Percentage_Persons_Unemployed_Vic,Year
employment_suburb.fid-70a927cd_165b71c4c19_2bdf,1024,SSC21024,Glenisla,LGA26260,5,62.5,58.08,3,37.5,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2be0,1858,SSC21858,Nambrok,LGA26810,119,71.69,58.08,36,21.69,32.02,4,2.41,3.19,7,4.22,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2be1,1028,SSC21028,Glenloth,LGA21270,5,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2be2,1029,SSC21029,Glenloth East,LGA21270,6,46.15,58.08,7,53.85,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2be3,2148,SSC22148,Research,LGA25710,787,54.05,58.08,570,39.15,32.02,43,2.95,3.19,56,3.85,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2be4,976,SSC20976,Gerahmin,LGA26610,6,66.67,58.08,0,0,32.02,3,33.33,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2be5,1875,SSC21875,Naringal East,LGA25490,33,66,58.08,14,28,32.02,3,6,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2be6,977,SSC20977,Gerang Gerung,LGA22980,25,52.08,58.08,12,25,32.02,5,10.42,3.19,6,12.5,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2be7,914,SSC20914,Fingal,LGA25340,133,49.44,58.08,117,43.49,32.02,11,4.09,3.19,8,2.97,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2be8,2801,SSC22801,Winton North,LGA21010,3,50,58.08,3,50,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2be9,1094,SSC21094,Greenhill,LGA24130,16,50,58.08,16,50,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bea,1919,SSC21919,Newlyn,LGA22910,38,59.38,58.08,23,35.94,32.02,3,4.69,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2beb,2238,SSC22238,Seaford,LGA22170,4844,60.01,58.08,2361,29.25,32.02,288,3.57,3.19,579,7.17,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bec,1362,SSC21362,Kithbrook,LGA26430,12,48,58.08,4,16,32.02,5,20,3.19,4,16,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bed,2246,SSC22246,Sedgwick,LGA22620,148,53.82,58.08,108,39.27,32.02,10,3.64,3.19,9,3.27,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bee,2256,SSC22256,Shays Flat,LGA25990,0,0,58.08,3,100,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bef,2048,SSC22048,Peronne,LGA26890,19,86.36,58.08,3,13.64,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bf0,2434,SSC22434,Tanybryn,LGA21750,0,0,58.08,3,42.86,32.02,4,57.14,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bf1,1800,SSC21800,Mount Tassie,LGA23810,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bf2,1061,SSC21061,Goorambat,LGA21010,84,60.43,58.08,47,33.81,32.02,4,2.88,3.19,4,2.88,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bf3,2926,SSC22926,Yuroke,LGA23270,30,50,58.08,26,43.33,32.02,0,0,3.19,4,6.67,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bf4,2927,SSC22927,Yuulong,LGA21750,5,41.67,58.08,7,58.33,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bf5,2263,SSC22263,Shepherds Flat,LGA22910,20,45.45,58.08,21,47.73,32.02,0,0,3.19,3,6.82,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bf6,2533,SSC22533,Tooradin,LGA21610,443,60.77,58.08,235,32.24,32.02,35,4.8,3.19,16,2.19,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bf7,2928,SSC22928,Zeerust,LGA22830,47,57.32,58.08,32,39.02,32.02,3,3.66,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bf8,2893,SSC22893,Yarck,LGA25620,45,60,58.08,27,36,32.02,0,0,3.19,3,4,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bf9,2317,SSC22317,Springvale,LGA22670,4605,51.97,58.08,3015,34.03,32.02,168,1.9,3.19,1073,12.11,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bfa,2360,SSC22360,Strathallan,LGA21370,35,51.47,58.08,26,38.24,32.02,3,4.41,3.19,4,5.88,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bfb,1078,SSC21078,Grampians,LGA26260,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bfc,1230,SSC21230,Iraak,LGA24780,49,77.78,58.08,10,15.87,32.02,0,0,3.19,4,6.35,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bfd,1072,SSC21072,Gowanbrae,LGA25250,892,64.17,58.08,413,29.71,32.02,35,2.52,3.19,50,3.6,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bfe,1073,SSC21073,Gowanford,LGA26610,3,50,58.08,3,50,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2bff,1079,SSC21079,Grand Ridge,LGA23810,3,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c00,1109,SSC21109,Gunbower,LGA21370,136,54.18,58.08,93,37.05,32.02,11,4.38,3.19,11,4.38,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c01,1110,SSC21110,Gundowring,LGA23350,85,62.5,58.08,42,30.88,32.02,6,4.41,3.19,3,2.21,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c02,658,SSC20658,Cranbourne,LGA21610,5500,59.59,58.08,2675,28.98,32.02,276,2.99,3.19,779,8.44,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c03,1080,SSC21080,Granite Rock,LGA22110,71,56.35,58.08,51,40.48,32.02,4,3.17,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c04,2706,SSC22706,Waterloo,LGA25990,28,63.64,58.08,16,36.36,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c05,2348,SSC22348,Stockdale,LGA26810,15,53.57,58.08,7,25,32.02,3,10.71,3.19,3,10.71,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c06,1084,SSC21084,Grassmere,LGA25490,131,58.74,58.08,70,31.39,32.02,14,6.28,3.19,8,3.59,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c07,1087,SSC21087,Gre Gre,LGA25810,5,62.5,58.08,0,0,32.02,3,37.5,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c08,993,SSC20993,Girgarre East,LGA22830,41,56.16,58.08,25,34.25,32.02,3,4.11,3.19,4,5.48,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c09,2421,SSC22421,Tambo Upper,LGA22110,82,50.62,58.08,65,40.12,32.02,11,6.79,3.19,4,2.47,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c0a,2097,SSC22097,Portarlington,LGA22750,572,48.43,58.08,448,37.93,32.02,48,4.06,3.19,113,9.57,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c0b,1388,SSC21388,Koroit,LGA25490,526,53.84,58.08,365,37.36,32.02,43,4.4,3.19,43,4.4,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c0c,1091,SSC21091,Gredgwin,LGA23940,3,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c0d,1093,SSC21093,Greendale,LGA25150,173,57.28,58.08,100,33.11,32.02,16,5.3,3.19,13,4.3,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c0e,2425,SSC22425,Tamleugh,LGA26430,15,57.69,58.08,8,30.77,32.02,0,0,3.19,3,11.54,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c0f,2427,SSC22427,Tandarook,LGA21830,9,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c10,1095,SSC21095,Greens Creek,LGA25810,15,75,58.08,5,25,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c11,2549,SSC22549,Tower Hill,LGA25490,15,41.67,58.08,16,44.44,32.02,0,0,3.19,5,13.89,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c12,2666,SSC22666,Wangarabell,LGA22110,0,0,58.08,0,0,32.02,0,0,3.19,3,100,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c13,16,SSC20016,Albanvale,LGA21180,1199,53.77,58.08,704,31.57,32.02,64,2.87,3.19,263,11.79,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c14,2119,SSC22119,Quambatook,LGA22250,52,57.78,58.08,24,26.67,32.02,3,3.33,3.19,11,12.22,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c15,2467,SSC22467,Teesdale,LGA22490,499,56.64,58.08,306,34.73,32.02,28,3.18,3.19,48,5.45,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c16,1547,SSC21547,Lyonville,LGA22910,36,52.94,58.08,28,41.18,32.02,4,5.88,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c17,1107,SSC21107,Gruyere,LGA27450,283,54.21,58.08,194,37.16,32.02,33,6.32,3.19,12,2.3,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c18,978,SSC20978,Gerangamete,LGA21750,29,55.77,58.08,17,32.69,32.02,0,0,3.19,6,11.54,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c19,1065,SSC21065,Gorae West,LGA22410,81,63.28,58.08,38,29.69,32.02,3,2.34,3.19,6,4.69,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c1a,1124,SSC21124,Hampton East,LGA20910,1376,59.26,58.08,730,31.44,32.02,80,3.45,3.19,136,5.86,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c1b,2224,SSC22224,Sandy Creek,LGA23350,53,57.61,58.08,33,35.87,32.02,3,3.26,3.19,3,3.26,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c1c,4,SSC20004,Aberfeldy,LGA20830,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c1d,1116,SSC21116,Hadfield,LGA25250,1343,59.08,58.08,684,30.09,32.02,63,2.77,3.19,183,8.05,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c1e,10,SSC20010,Agnes,LGA26170,13,43.33,58.08,14,46.67,32.02,3,10,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c1f,1122,SSC21122,Hamlyn Heights,LGA22750,1769,57.25,58.08,1031,33.37,32.02,123,3.98,3.19,167,5.4,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c20,1409,SSC21409,Laanecoorie,LGA23940,38,55.88,58.08,24,35.29,32.02,3,4.41,3.19,3,4.41,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c21,506,SSC20506,Carwarp,LGA24780,16,57.14,58.08,12,42.86,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c22,1129,SSC21129,Harcourt,LGA25430,239,55.84,58.08,158,36.92,32.02,17,3.97,3.19,14,3.27,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c23,1429,SSC21429,Lake Marmal,LGA23940,10,76.92,58.08,3,23.08,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c24,1132,SSC21132,Harmers Haven,LGA20740,5,62.5,58.08,3,37.5,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c25,1019,SSC21019,Glengarry North,LGA23810,42,43.3,58.08,42,43.3,32.02,5,5.15,3.19,8,8.25,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c26,699,SSC20699,Daltons Bridge,LGA22250,11,52.38,58.08,4,19.05,32.02,3,14.29,3.19,3,14.29,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c27,2557,SSC22557,Traralgon East,LGA23810,575,59.28,58.08,311,32.06,32.02,43,4.43,3.19,41,4.23,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c28,1135,SSC21135,Harston,LGA22830,62,65.96,58.08,29,30.85,32.02,0,0,3.19,3,3.19,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c29,2576,SSC22576,Turriff,LGA27630,4,50,58.08,4,50,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c2a,2619,SSC22619,Victoria Valley,LGA26260,30,73.17,58.08,11,26.83,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c2b,1137,SSC21137,Hattah,LGA24780,7,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c2c,964,SSC20964,Gatum,LGA26260,10,58.82,58.08,7,41.18,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c2d,511,SSC20511,Castle Creek,LGA27170,22,50,58.08,19,43.18,32.02,3,6.82,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c2e,510,SSC20510,Casterton,LGA22410,308,50.49,58.08,241,39.51,32.02,26,4.26,3.19,35,5.74,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c2f,2704,SSC22704,Waterford Park,LGA24850,61,60.4,58.08,30,29.7,32.02,7,6.93,3.19,3,2.97,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c30,512,SSC20512,Castle Donnington,LGA26610,35,64.81,58.08,13,24.07,32.02,3,5.56,3.19,3,5.56,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c31,1152,SSC21152,Heathcote Junction,LGA24850,247,57.31,58.08,137,31.79,32.02,20,4.64,3.19,27,6.26,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c32,1422,SSC21422,Lake Condah,LGA22410,3,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c33,1157,SSC21157,Hedley,LGA26170,37,68.52,58.08,10,18.52,32.02,4,7.41,3.19,3,5.56,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c34,1159,SSC21159,Heidelberg Heights,LGA20660,1805,57.41,58.08,991,31.52,32.02,92,2.93,3.19,256,8.14,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c35,996,SSC20996,Gladfield,LGA23940,10,76.92,58.08,3,23.08,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c36,513,SSC20513,Castlemaine,LGA25430,1272,46.44,58.08,1213,44.29,32.02,95,3.47,3.19,159,5.81,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c37,1444,SSC21444,Lamplough,LGA25990,10,41.67,58.08,14,58.33,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c38,515,SSC20515,Cathcart,LGA20260,32,59.26,58.08,19,35.19,32.02,3,5.56,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c39,1165,SSC21165,Herne Hill,LGA22750,988,55.04,58.08,628,34.99,32.02,75,4.18,3.19,104,5.79,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c3a,1166,SSC21166,Hernes Oak,LGA23810,93,57.41,58.08,55,33.95,32.02,10,6.17,3.19,4,2.47,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c3b,991,SSC20991,Gipsy Point,LGA22110,5,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c3c,1167,SSC21167,Hesket,LGA24130,37,52.11,58.08,30,42.25,32.02,4,5.63,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c3d,1168,SSC21168,Hesse,LGA22490,3,50,58.08,3,50,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c3e,1169,SSC21169,Hexham,LGA25490,44,74.58,58.08,15,25.42,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c3f,1038,SSC21038,Glenrowan,LGA26700,265,55.44,58.08,171,35.77,32.02,20,4.18,3.19,22,4.6,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c40,2929,SSC22929,Zumsteins,LGA25810,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c41,516,SSC20516,Cathkin,LGA25620,12,80,58.08,3,20,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c42,997,SSC20997,Gladstone Park,LGA23270,2094,56.78,58.08,1194,32.38,32.02,110,2.98,3.19,290,7.86,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c43,1179,SSC21179,Hilgay,LGA26260,12,66.67,58.08,6,33.33,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c44,1181,SSC21181,Hillcrest,LGA25990,26,49.06,58.08,16,30.19,32.02,3,5.66,3.19,8,15.09,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c45,1052,SSC21052,Goldie,LGA24130,62,56.36,58.08,33,30,32.02,7,6.36,3.19,8,7.27,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c46,1291,SSC21291,Karabeal,LGA26260,10,43.48,58.08,13,56.52,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c47,522,SSC20522,Caveat,LGA25620,16,72.73,58.08,3,13.64,32.02,3,13.64,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c48,538,SSC20538,Cherokee,LGA24130,16,61.54,58.08,7,26.92,32.02,0,0,3.19,3,11.54,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c49,965,SSC20965,Gazette,LGA26260,28,77.78,58.08,3,8.33,32.02,5,13.89,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c4a,998,SSC20998,Gladysdale,LGA27450,116,53.46,58.08,78,35.94,32.02,14,6.45,3.19,9,4.15,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c4b,523,SSC20523,Cavendish,LGA26260,102,57.3,58.08,64,35.96,32.02,8,4.49,3.19,4,2.25,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c4c,1184,SSC21184,Hillside,LGA24650,5300,59.07,58.08,2814,31.36,32.02,261,2.91,3.19,598,6.66,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c4d,1185,SSC21185,Hinnomunjie,LGA22110,7,43.75,58.08,9,56.25,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c4e,960,SSC20960,Garfield North,LGA21450,70,64.22,58.08,36,33.03,32.02,3,2.75,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c4f,524,SSC20524,Ceres,LGA22750,65,50.39,58.08,56,43.41,32.02,4,3.1,3.19,4,3.1,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c50,1859,SSC21859,Nandaly,LGA21270,5,38.46,58.08,5,38.46,32.02,0,0,3.19,3,23.08,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c51,727,SSC20727,Delburn,LGA23810,6,46.15,58.08,4,30.77,32.02,3,23.08,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c52,521,SSC20521,Caulfield South,LGA22310,3527,57.13,58.08,2193,35.52,32.02,166,2.69,3.19,288,4.66,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c53,1190,SSC21190,Homerton,LGA22410,6,50,58.08,6,50,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c54,992,SSC20992,Girgarre,LGA21370,155,63.27,58.08,63,25.71,32.02,10,4.08,3.19,17,6.94,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c55,1200,SSC21200,Howes Creek,LGA24250,19,46.34,58.08,18,43.9,32.02,0,0,3.19,4,9.76,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c56,1201,SSC21201,Howitt Plains,LGA26810,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c57,1203,SSC21203,Howqua Hills,LGA24250,3,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c58,1301,SSC21301,Katandra West,LGA22830,159,61.15,58.08,70,26.92,32.02,14,5.38,3.19,17,6.54,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c59,999,SSC20999,Glen Alvie,LGA20740,46,57.5,58.08,27,33.75,32.02,4,5,3.19,3,3.75,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c5a,1193,SSC21193,Hopetoun Park,LGA25150,254,62.25,58.08,121,29.66,32.02,15,3.68,3.19,18,4.41,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c5b,1198,SSC21198,Hotham Heights,LGA29399,73,76.84,58.08,19,20,32.02,3,3.16,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c5c,1063,SSC21063,Gooroc,LGA25810,8,72.73,58.08,3,27.27,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c5d,2455,SSC22455,Tatura,LGA22830,1138,57.21,58.08,625,31.42,32.02,114,5.73,3.19,112,5.63,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c5e,2435,SSC22435,Taradale,LGA25430,101,48.1,58.08,90,42.86,32.02,12,5.71,3.19,7,3.33,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c5f,1205,SSC21205,Hughesdale,LGA24970,2343,58.23,58.08,1290,32.06,32.02,111,2.76,3.19,280,6.96,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c60,1208,SSC21208,Hunterston,LGA26810,13,61.9,58.08,8,38.1,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c61,2806,SSC22806,Wombat Creek,LGA22110,5,45.45,58.08,3,27.27,32.02,3,27.27,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c62,1211,SSC21211,Huntly North,LGA22620,13,76.47,58.08,4,23.53,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c63,530,SSC20530,Charlemont,LGA22750,78,59.09,58.08,40,30.3,32.02,11,8.33,3.19,3,2.27,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c64,1158,SSC21158,Heidelberg,LGA20660,1920,59.15,58.08,1017,31.33,32.02,138,4.25,3.19,171,5.27,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c65,526,SSC20526,Chandlers Creek,LGA22110,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c66,529,SSC20529,Charam,LGA26890,11,57.89,58.08,8,42.11,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c67,1218,SSC21218,Illawarra,LGA25810,21,50,58.08,18,42.86,32.02,3,7.14,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c68,2456,SSC22456,Tatura East,LGA22830,46,60.53,58.08,22,28.95,32.02,3,3.95,3.19,5,6.58,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c69,2458,SSC22458,Tawonga,LGA20110,136,50.18,58.08,115,42.44,32.02,13,4.8,3.19,7,2.58,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c6a,2601,SSC22601,Upper Ferntree Gully,LGA23670,1027,58.22,58.08,596,33.79,32.02,54,3.06,3.19,87,4.93,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c6b,2807,SSC22807,Wombelano,LGA26890,23,85.19,58.08,4,14.81,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c6c,1222,SSC21222,Inglewood,LGA23940,132,51.16,58.08,96,37.21,32.02,8,3.1,3.19,22,8.53,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c6d,1223,SSC21223,Ingliston,LGA25150,17,73.91,58.08,3,13.04,32.02,0,0,3.19,3,13.04,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c6e,892,SSC20892,Exford,LGA24650,31,55.36,58.08,17,30.36,32.02,4,7.14,3.19,4,7.14,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c6f,531,SSC20531,Charleroi,LGA23350,28,65.12,58.08,12,27.91,32.02,3,6.98,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c70,2032,SSC22032,Pastoria East,LGA24130,5,55.56,58.08,4,44.44,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c71,1125,SSC21125,Hampton Park,LGA21610,6827,59.66,58.08,3191,27.88,32.02,288,2.52,3.19,1138,9.94,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c72,1114,SSC21114,Gymbowen,LGA26890,12,41.38,58.08,11,37.93,32.02,3,10.34,3.19,3,10.34,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c73,890,SSC20890,Everton,LGA26700,48,47.06,58.08,45,44.12,32.02,4,3.92,3.19,5,4.9,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c74,1235,SSC21235,Irrewillipe East,LGA21750,23,56.1,58.08,14,34.15,32.02,4,9.76,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c75,729,SSC20729,Denicull Creek,LGA20260,6,50,58.08,6,50,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_2c76,1154,SSC21154,Heatherton,LGA23430,872,58.96,58.08,482,32.59,32.02,44,2.97,3.19,81,5.48,6.71,2016
